Original ,Proofread,Comment,,,,,,,,,,,,,,,,,,,,,,,
洞窟の伝説 (1 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
ダリンガムの丘おかの洞窟どうくつに入ったマルクスとセレスティーナの前に3みっつの道がありました。,ダリンガムの丘おかの洞窟どうくつに入ったマルクスとセレスティーナの前には、3みっつの道がありました。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
まあ、洞窟どうくつの中なんだけど,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
石いしがキノコのように生はえるという洞窟どうくつの伝説でんせつは本当なのだろうか？,石いしがキノコのように生はえるという洞窟どうくつの伝説でんせつは本当なのかしら？,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
うーん...,,,,,,,,,,,,,,,,,,,,,,,,,
そうであってほしい。,そうであってほしいけど。,,,,,,,,,,,,,,,,,,,,,,,,
もうすぐわかるよ。,,,,,,,,,,,,,,,,,,,,,,,,,
どっちに行こうか？,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
地図を見てみよう,地図を見てみましょう,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
前 | 次,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
不思議な場所 (2 / 19),,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
洞窟どうくつは2層そうになっていました。入口は緑、目標もくひょうは赤で描えがかれていました。,洞窟どうくつは2層そうになっています。入口は緑、目標もくひょうは赤で描えがかれています。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
石いしの部屋へ行くには、この5いつつの部屋を通とおらなきゃ,石いしの部屋に行くには、この5いつつの部屋を通とおらなきゃ,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
